iter	Logloss
0	0.6862360774
1	0.6783704319
2	0.670515944
3	0.6651774031
4	0.65574756
5	0.6459556117
6	0.6413873978
7	0.6361887727
8	0.6302830989
9	0.6220277925
10	0.6184395429
11	0.6106297873
12	0.603839741
13	0.6017601884
14	0.5943353728
15	0.5895887867
16	0.5848869322
17	0.5796784688
18	0.5715451591
19	0.5663959515
20	0.5624484867
21	0.5581164316
22	0.5502216334
23	0.5469001155
24	0.5417456373
25	0.5357456803
26	0.5307911564
27	0.5251769608
28	0.5208212128
29	0.5177170389
30	0.5147429635
31	0.5112796768
32	0.5077677588
33	0.505173017
34	0.5020757072
35	0.4977952119
36	0.4936734052
37	0.4895389299
38	0.4847287071
39	0.4808730062
40	0.4783390576
41	0.4750536601
42	0.4708980962
43	0.4697400139
44	0.4676788695
45	0.4624164963
46	0.4606750923
47	0.4558537339
48	0.4534040234
49	0.4492440057
50	0.4470078472
51	0.4431079836
52	0.4418625788
53	0.4385126899
54	0.4365532845
55	0.4341696737
56	0.4326733999
57	0.4320414285
58	0.4308593431
59	0.4290000621
60	0.4273857211
61	0.4251700719
62	0.4232854457
63	0.4198866732
64	0.4161358704
65	0.4150449783
66	0.4126982294
67	0.4089406334
68	0.408068081
69	0.4042422675
70	0.4019309098
71	0.4001136843
72	0.3980460737
73	0.3961754406
74	0.3932804492
75	0.391289022
76	0.3875582797
77	0.3846322456
78	0.3829518057
79	0.3803063377
80	0.3788849361
81	0.3758794043
82	0.3737497233
83	0.3718246634
84	0.3690900215
85	0.3651155453
86	0.3642235705
87	0.362795367
88	0.361031669
89	0.3572070283
90	0.3553715813
91	0.3540072643
92	0.3512839272
93	0.3503440128
94	0.3487512531
95	0.3456244258
96	0.3431405898
97	0.3416010632
98	0.338858487
99	0.3370397564
