iter	Passed	Remaining
0	0	52
1	0	34
2	0	27
3	0	23
4	1	21
5	1	20
6	1	18
7	1	18
8	1	17
9	1	16
10	1	16
11	2	15
12	2	15
13	2	14
14	2	14
15	2	14
16	2	13
17	2	13
18	3	13
19	3	12
20	3	12
21	3	12
22	3	12
23	3	11
24	3	11
25	4	11
26	4	11
27	4	11
28	4	10
29	4	10
30	4	10
31	5	10
32	5	10
33	5	10
34	5	10
35	5	10
36	5	10
37	6	9
38	6	9
39	6	9
40	7	10
41	7	10
42	8	11
43	9	11
44	9	11
45	9	11
46	9	10
47	9	10
48	9	10
49	10	10
50	10	10
51	11	10
52	12	10
53	12	11
54	13	10
55	13	10
56	13	10
57	13	9
58	13	9
59	14	9
60	15	9
61	15	9
62	16	9
63	16	9
64	17	9
65	17	8
66	17	8
67	17	8
68	18	8
69	18	8
70	19	8
71	20	7
72	20	7
73	21	7
74	21	7
75	21	6
76	21	6
77	22	6
78	22	5
79	22	5
80	22	5
81	22	4
82	22	4
83	22	4
84	23	4
85	23	3
86	23	3
87	23	3
88	23	2
89	23	2
90	23	2
91	24	2
92	24	1
93	24	1
94	24	1
95	24	1
96	24	0
97	24	0
98	24	0
99	25	0
